street_name,town,lat,lng
ADMIRALTY DR,SEMBAWANG,1.450685651,103.817133
ADMIRALTY LINK,SEMBAWANG,1.455342003,103.8175415
AH HOOD RD,KALLANG/WHAMPOA,1.327808684,103.8468005
ALJUNIED AVE 2,GEYLANG,1.32109794,103.8870987
ALJUNIED CRES,GEYLANG,1.320532222,103.8857354
ALJUNIED RD,GEYLANG,1.322421084,103.8814805
ANCHORVALE CRES,SENGKANG,1.398762529,103.8908759
ANCHORVALE DR,SENGKANG,1.39070393,103.889485
ANCHORVALE LANE,SENGKANG,1.392199289,103.8842804
ANCHORVALE LINK,SENGKANG,1.392390863,103.8900395
ANCHORVALE RD,SENGKANG,1.393461584,103.8872008
ANCHORVALE ST,SENGKANG,1.397482763,103.8891036
ANG MO KIO AVE 1,ANG MO KIO,1.36381724,103.8474201
ANG MO KIO AVE 10,ANG MO KIO,1.367007392,103.8564735
ANG MO KIO AVE 2,ANG MO KIO,1.372923411,103.8332125
ANG MO KIO AVE 3,ANG MO KIO,1.369191111,103.8573054
ANG MO KIO AVE 4,ANG MO KIO,1.376413907,103.8393635
ANG MO KIO AVE 5,ANG MO KIO,1.376070036,103.8555767
ANG MO KIO AVE 6,ANG MO KIO,1.376156326,103.8451263
ANG MO KIO AVE 8,ANG MO KIO,1.370897285,103.848654
ANG MO KIO AVE 9,ANG MO KIO,1.384198684,103.8437162
ANG MO KIO ST 11,ANG MO KIO,1.371182065,103.8359091
ANG MO KIO ST 21,ANG MO KIO,1.369067791,103.8348713
ANG MO KIO ST 31,ANG MO KIO,1.36615254,103.8480775
ANG MO KIO ST 32,ANG MO KIO,1.364749837,103.8503657
ANG MO KIO ST 44,ANG MO KIO,1.366605492,103.8575527
ANG MO KIO ST 51,ANG MO KIO,1.37130534,103.8541354
ANG MO KIO ST 52,ANG MO KIO,1.37266463,103.8533258
ANG MO KIO ST 61,ANG MO KIO,1.38107923,103.8412277
BAIN ST,CENTRAL AREA,1.29726809,103.8540351
BALAM RD,GEYLANG,1.330081766,103.8866261
BANGKIT RD,BUKIT PANJANG,1.377763979,103.774142
BEACH RD,KALLANG/WHAMPOA,1.299604533,103.8592229
BEDOK CTRL,BEDOK,1.326025348,103.9335868
BEDOK NTH AVE 1,BEDOK,1.328525862,103.9267382
BEDOK NTH AVE 2,BEDOK,1.330849069,103.9306893
BEDOK NTH AVE 3,BEDOK,1.331472862,103.934313
BEDOK NTH AVE 4,BEDOK,1.335043879,103.9435632
BEDOK NTH RD,BEDOK,1.330873666,103.9304481
BEDOK NTH ST 1,BEDOK,1.327439966,103.9307388
BEDOK NTH ST 2,BEDOK,1.32887107,103.9370683
BEDOK NTH ST 3,BEDOK,1.333483169,103.9275974
BEDOK NTH ST 4,BEDOK,1.332327091,103.9398126
BEDOK RESERVOIR CRES,BEDOK,1.33646001,103.9204707
BEDOK RESERVOIR RD,BEDOK,1.337286995,103.9215157
BEDOK RESERVOIR VIEW,BEDOK,1.337019465,103.9367814
BEDOK STH AVE 1,BEDOK,1.317932563,103.9328377
BEDOK STH AVE 2,BEDOK,1.3225481,103.9375648
BEDOK STH AVE 3,BEDOK,1.32092477,103.9455142
BEDOK STH RD,BEDOK,1.32059567,103.9377658
BENDEMEER RD,KALLANG/WHAMPOA,1.32089774,103.8653445
BEO CRES,BUKIT MERAH,1.289300638,103.8271176
BISHAN ST 11,BISHAN,1.346672864,103.8523193
BISHAN ST 12,BISHAN,1.346711442,103.8508991
BISHAN ST 13,BISHAN,1.349641097,103.8540644
BISHAN ST 22,BISHAN,1.35751626,103.8452375
BISHAN ST 23,BISHAN,1.357275315,103.8466089
BISHAN ST 24,BISHAN,1.356907973,103.8443758
BOON KENG RD,KALLANG/WHAMPOA,1.315542815,103.8646097
BOON LAY AVE,JURONG WEST,1.347261894,103.7103822
BOON LAY DR,JURONG WEST,1.344075816,103.7128144
BOON LAY PL,JURONG WEST,1.347152071,103.7129727
BOON TIONG RD,BUKIT MERAH,1.286681921,103.831444
BRIGHT HILL DR,BISHAN,1.357652186,103.8319847
BT BATOK CTRL,BUKIT BATOK,1.350524542,103.7497294
BT BATOK EAST AVE 3,BUKIT BATOK,1.344542387,103.758375
BT BATOK EAST AVE 4,BUKIT BATOK,1.349709668,103.758654
BT BATOK EAST AVE 5,BUKIT BATOK,1.353562022,103.7548806
BT BATOK EAST AVE 6,BUKIT BATOK,1.345426642,103.7573014
BT BATOK ST 11,BUKIT BATOK,1.350000338,103.7433344
BT BATOK ST 21,BUKIT BATOK,1.346618383,103.7534411
BT BATOK ST 22,BUKIT BATOK,1.344417451,103.7497686
BT BATOK ST 24,BUKIT BATOK,1.342974249,103.756779
BT BATOK ST 25,BUKIT BATOK,1.343762857,103.7609321
BT BATOK ST 31,BUKIT BATOK,1.358329486,103.7489424
BT BATOK ST 32,BUKIT BATOK,1.362487986,103.7483707
BT BATOK ST 33,BUKIT BATOK,1.362156215,103.7476264
BT BATOK ST 34,BUKIT BATOK,1.364583546,103.7499312
BT BATOK ST 51,BUKIT BATOK,1.355863164,103.7505648
BT BATOK ST 52,BUKIT BATOK,1.356390938,103.7534251
BT BATOK WEST AVE 2,BUKIT BATOK,1.358114396,103.7472612
BT BATOK WEST AVE 4,BUKIT BATOK,1.362767634,103.7469993
BT BATOK WEST AVE 5,BUKIT BATOK,1.358786754,103.7422624
BT BATOK WEST AVE 6,BUKIT BATOK,1.35366689,103.7429169
BT BATOK WEST AVE 7,BUKIT BATOK,1.365429985,103.7488114
BT BATOK WEST AVE 8,BUKIT BATOK,1.355490279,103.7397878
BT BATOK WEST AVE 9,BUKIT BATOK,1.354981438,103.7418557
BT MERAH CTRL,BUKIT MERAH,1.283932126,103.8162972
BT MERAH LANE 1,BUKIT MERAH,1.285796965,103.8039701
BT MERAH VIEW,BUKIT MERAH,1.284181034,103.8218811
BT PANJANG RING RD,BUKIT PANJANG,1.386554207,103.7644644
BT PURMEI RD,BUKIT MERAH,1.272826782,103.8255881
BUANGKOK CRES,HOUGANG,1.383950004,103.8806898
BUANGKOK GREEN,HOUGANG,1.379634519,103.8827096
BUANGKOK LINK,HOUGANG,1.382819259,103.8820525
BUFFALO RD,CENTRAL AREA,1.306828507,103.8507406
C'WEALTH AVE,QUEENSTOWN,1.304769669,103.7955805
C'WEALTH AVE WEST,CLEMENTI,1.30807989,103.7884726
C'WEALTH CL,QUEENSTOWN,1.303789654,103.7989943
C'WEALTH CRES,QUEENSTOWN,1.307698572,103.8004235
C'WEALTH DR,QUEENSTOWN,1.298973465,103.7975814
CAMBRIDGE RD,KALLANG/WHAMPOA,1.315065133,103.848572
